#Simulation Analysis Results CSV File 2019-01-24T07:33:12.731756,,,,
"#Generated on structure: ""frame002000""",,,,
TimeStep,Distance_FAD_C8M-FMN_C8M,Distance_FMN_C7M-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
0,40.4715042114258,12.93678855896,29.8084765422255,4
150,40.2886581420898,13.5136260986328,30.4417307562617,3
300,38.3235626220703,13.3815288543701,30.0509693591065,4
450,39.1227951049805,14.5066480636597,29.9405128021159,3
600,38.6245384216309,14.8629674911499,29.7601544599933,5
750,38.7405166625977,13.1325263977051,30.2568975949791,7
900,40.7346458435059,13.9770517349243,29.7804662858393,4
1050,41.3042869567871,14.7234201431274,30.0296885173563,7
1200,38.8312950134277,13.6546697616577,29.3662727159069,7
1350,39.9866790771484,14.1545534133911,29.5172636641366,5
1500,41.1867637634277,13.736626625061,29.598176207779,6
1650,41.0014152526856,13.5941162109375,29.6530860974675,7
1800,40.0111618041992,14.4675350189209,29.4567326009433,4
1950,40.4553260803223,14.3432369232178,29.5689389385808,5
2100,38.0700225830078,15.4107055664063,29.7421473475371,5
2250,41.0329933166504,14.3809204101563,29.9312008829099,6
2400,40.4436645507812,13.9666996002197,29.5817549194629,6
2550,39.8752708435059,14.3435859680176,29.387309129193,4
2700,41.0595664978027,14.047459602356,29.544205843034,4
2850,40.9166145324707,14.0885276794434,29.7421575367014,6
3000,39.6774787902832,14.2453260421753,30.1372979465811,6
3150,40.7834854125977,13.7040328979492,29.4559975864317,6
3300,39.0829010009766,14.3430414199829,29.8847337083828,6
3450,38.1472854614258,15.280740737915,29.3321811757255,6
3600,39.3559875488281,14.4602632522583,29.6837846705574,6
3750,38.9585113525391,14.5313243865967,29.5373211030574,6
3900,39.3777732849121,13.7217111587524,29.7085252497629,6
4050,40.5842933654785,14.8918991088867,29.7942502896999,5
4200,38.5837516784668,15.0664396286011,29.8092317727151,4
4350,39.0635528564453,13.8206396102905,29.4272056228113,4
4500,38.9575500488281,14.5452613830566,29.3870381837207,5
4650,40.4926300048828,14.3432607650757,29.6196412561495,7
4800,38.4944763183594,14.9241285324097,29.2265008672357,6
4950,40.0121383666992,15.6101961135864,29.3976304073914,8
5100,39.7700881958008,15.7862491607666,29.7266776226162,6
5250,40.6987571716309,15.819486618042,29.7974777936742,8
5400,40.3944778442383,15.8269271850586,29.6471842345241,6
5550,41.6655540466309,15.1855058670044,29.5046620342665,6
5700,41.5279197692871,15.1985960006714,29.1709350324518,6
5850,39.8342323303223,14.8116102218628,28.8128135954335,6
6000,41.6582565307617,14.8251838684082,29.42200654453,7
6150,39.3492164611816,14.8737192153931,29.1172498818267,6
6300,38.8392562866211,14.8259620666504,29.0907156743677,5
6450,39.9116973876953,14.7354917526245,28.8824946896696,6
6600,40.6822814941406,14.8431024551392,29.2571113998285,7
6750,41.3545761108398,15.4510183334351,29.4378217089961,6
6900,40.2227325439453,14.9166460037231,29.3658348150182,5
7050,38.8151168823242,15.2988967895508,29.2647310781059,5
7200,40.2708435058594,14.5039043426514,29.2405513481524,4
7350,37.2000732421875,14.4486532211304,28.6881621328572,7
7500,39.2596435546875,15.3134098052979,28.961513223452,8
7650,37.0354385375977,14.8984479904175,28.6848298409088,5
7800,36.031852722168,14.4941730499268,28.7719354661366,5
7950,38.4156188964844,14.1419448852539,28.9615185134754,7
8100,36.1537666320801,14.5323724746704,28.9830841489959,6
8250,37.1784210205078,14.8891458511353,29.071494562351,5
8400,35.9333534240723,15.0584516525269,28.9835547228171,4
8550,35.394962310791,15.0846405029297,28.7236337545772,4
8700,35.4716529846191,14.8407335281372,28.4568037844955,6
8850,36.309211730957,15.4508638381958,28.6087051799527,6
9000,35.3944931030273,15.0289030075073,29.0292542305816,5
9150,36.1822280883789,14.408350944519,29.0192226603002,6
9300,35.2668151855469,14.6399879455566,28.7518617641131,6
9450,35.2278099060059,14.2893304824829,28.5099924120253,4
9600,36.0272636413574,14.4749450683594,28.5888875769686,5
9750,35.6591949462891,14.4474639892578,28.5843129873682,6
9900,36.3544654846191,14.714412689209,28.7969204287657,6
10050,34.7060813903809,14.2004375457764,28.8517035607074,7
10200,35.6162300109863,14.4769916534424,28.8176504945366,6
10350,36.9098739624023,15.2213344573975,29.005161573894,6
10500,35.187313079834,14.2554006576538,28.6994723159026,6
10650,36.3563346862793,14.627233505249,28.7360747256204,8
10800,36.6353073120117,15.3115549087524,28.7527225209326,7
10950,36.986629486084,14.8068370819092,28.7968349289085,9
11100,36.668384552002,14.6211853027344,29.2506547746012,6
11250,36.0046806335449,14.9895238876343,28.9010181448671,8
11400,36.4041976928711,13.9016027450562,28.7295227562348,5
11550,37.2337303161621,14.1302814483643,28.7614941094314,6
11700,34.2252044677734,15.2236661911011,28.4317932478785,8
11850,34.4909324645996,15.3146829605103,28.5377167454709,7
12000,33.9444808959961,15.8549356460571,28.3374985193615,9
12150,35.8696823120117,15.022744178772,28.7939235201599,8
12300,35.1463851928711,15.3496608734131,28.8230856080407,9
12450,36.9409217834473,14.0119352340698,28.7697996307853,6
12600,37.289909362793,15.4205875396729,28.4313451158578,9
12750,34.9925956726074,14.8212366104126,28.6113284845697,5
12900,34.2254638671875,15.5410528182983,28.866312376854,5
13050,33.578727722168,15.5648775100708,28.5664514840996,6
13200,34.4814453125,16.7627983093262,28.708721722184,5
13350,35.9937591552734,16.429859161377,28.5956772630715,5
13500,34.5608940124512,16.6339111328125,28.3804243154425,6
13650,34.4758529663086,16.7425403594971,29.165655841469,5
13800,34.2448768615723,15.8592205047607,28.7532679176075,6
13950,36.8480339050293,15.9393167495728,29.0218318462825,6
14100,37.067325592041,15.4824705123901,29.0527915482158,6
