#Simulation Analysis Results CSV File 2019-06-08T20:38:31.363224,,
"#Generated on structure: ""frame000000""",,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_FMN - Heme
0,40.4815635681152,13.3510141372681
150,40.3413124084473,13.1219568252563
300,38.7556495666504,14.251711845398
450,38.7295799255371,15.0479421615601
600,39.4950332641602,14.5188016891479
750,40.3403587341309,14.3628377914429
900,41.3105163574219,15.119800567627
1050,42.7277145385742,14.8410339355469
1200,43.5298385620117,14.4654092788696
1350,41.0489845275879,15.2570905685425
1500,40.4762344360352,14.8451147079468
1650,41.2144279479981,14.9840955734253
1800,36.863525390625,15.8922739028931
1950,34.5923652648926,17.6371746063232
2100,35.7656631469727,16.5640850067139
2250,34.891975402832,15.4589519500732
2400,35.2929496765137,15.0489883422852
2550,35.1965446472168,16.5451831817627
2700,34.8237724304199,16.1965789794922
2850,35.6106643676758,16.6438827514648
3000,35.077449798584,16.2330570220947
3150,34.2402839660645,16.4185009002686
3300,35.6001243591309,16.3616371154785
3450,34.8995590209961,16.2417316436768
3600,35.2834129333496,16.3205299377441
3750,35.4636192321777,16.403678894043
3900,36.0732269287109,17.0389080047607
4050,35.1023864746094,17.5519199371338
4200,32.5222702026367,18.0618953704834
4350,34.4278335571289,18.105188369751
4500,33.2904891967773,17.6626949310303
4650,34.3414154052734,15.8855571746826
4800,33.8846588134766,16.6606311798096
4950,35.0728378295898,15.6917152404785
5100,36.4963912963867,14.5477085113525
5250,36.7998123168945,15.2903165817261
5400,34.0964088439941,15.3882808685303
5550,36.1624717712402,15.1941156387329
5700,37.3759460449219,15.2339820861816
5850,35.9030609130859,15.9158248901367
6000,34.1354751586914,16.158203125
6150,32.8019905090332,16.76979637146
6300,34.9780731201172,17.672550201416
6450,37.5986785888672,16.6674118041992
6600,37.4387664794922,17.7720355987549
6750,37.2267799377441,17.4607086181641
6900,36.7089538574219,17.3387928009033
7050,39.3587760925293,17.2561283111572
7200,37.8357353210449,17.2904357910156
7350,37.10595703125,19.0048122406006
7500,37.1695556640625,19.0781536102295
7650,37.7098236083984,18.5063323974609
