Frame,Distance HEM800-TRA1
0,7.9269986
1,9.626247
2,8.534317
3,9.082422
4,8.657497
5,8.840162
6,8.992704
7,8.845678
8,10.487862
9,8.803443
10,8.5661335
11,8.826302
12,9.59141
13,9.252248
14,9.385418
15,8.87168
16,8.919535
17,8.390895
18,8.962529
19,8.040974
20,8.144796
21,7.855783
22,9.226599
23,8.615523
24,8.441955
25,8.335639
26,9.416571
27,8.070459
28,9.412697
29,8.195588
30,8.214981
31,8.003177
32,8.318317
33,8.821025
34,7.936919
35,8.190179
36,8.460585
37,7.923239
38,8.01155
39,9.314984
40,9.054835
41,8.699305
42,8.66192
43,8.465439
44,8.26163
45,7.951499
46,8.203083
47,8.163962
48,8.069907
49,8.447949
50,8.841583
51,8.418855
52,8.915355
53,8.39338
54,7.9165673
55,8.424975
56,8.287785
57,8.477133
58,8.285452
59,8.113633
60,8.149482
61,7.864579
62,8.723706
63,8.617346
64,8.011697
65,8.273032
66,8.409191
67,8.749672
68,9.160839
69,8.377181
70,8.922564
71,7.9213324
72,8.747354
73,8.945324
74,8.974795
75,8.7142725
76,9.033671
77,8.041517
78,8.719833
79,9.244921
80,9.295758
81,8.576559
82,8.809499
83,8.941085
84,8.898571
85,8.626514
86,8.8949175
87,8.826225
88,8.698778
89,8.559747
90,8.69525
91,8.852596
92,9.078418
93,9.097262
94,8.834308
95,8.426158
96,8.4449835
97,9.120115
98,8.138186
99,8.886783
100,9.049208
101,9.125385
102,8.174586
103,8.962346
104,8.337061
105,8.404909
106,8.431982
107,9.196446
108,8.495611
109,8.886855
110,8.756992
111,8.351107
112,8.379994
113,8.364564
114,8.213877
115,8.5362425
116,8.61609
117,8.439175
118,8.498825
119,8.298406
120,8.533805
121,8.500665
122,8.281269
123,8.711284
124,8.719197
125,8.478985
126,8.336879
127,8.301101
128,8.364342
129,8.485694
130,8.748897
131,8.38189
132,8.235808
133,8.3734255
134,7.9703693
135,9.143959
136,8.546445
137,8.692966
138,9.143271
139,8.551824
140,8.918336
141,8.556449
142,8.92684
143,9.022957
144,8.818144
145,8.354197
146,8.633921
147,8.391989
148,8.033936
149,8.38627
150,8.179301
151,7.8673306
152,7.822878
153,7.709747
154,7.706514
155,8.600997
156,9.217635
157,9.422316
158,8.074477
159,8.311845
160,7.7911596
161,8.41607
162,8.383761
163,8.808115
164,8.1673565
165,8.126881
166,8.255849
167,8.3590555
168,9.657857
169,10.38364
170,9.73396
171,10.200617
172,9.858043
173,8.986052
174,9.064118
175,8.725767
176,8.478368
177,8.835924
178,9.87063
179,9.400345
180,9.069199
181,9.316526
182,9.231155
183,9.313321
184,9.927029
185,8.860328
186,8.599012
187,8.841324
188,9.647591
189,9.357645
190,9.259036
191,8.708903
192,9.357711
193,9.920145
194,9.344386
195,8.973225
196,9.8168125
197,9.773002
198,9.478713
199,9.298498
200,10.279623
