#Simulation Analysis Results CSV File 2019-06-07T10:27:05.535428,,,
"#Generated on structure: ""frame000000""",,,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_Heme_Fe-FMN_C7M,Rad_Gyration_CPR-glob
0,40.4305686950684,12.9672613143921,29.8547467372289
150,38.3336906433105,13.0710563659668,29.3641622752856
300,37.291374206543,13.8010501861572,29.7201321342897
450,39.6919975280762,13.51438331604,30.1759059110368
600,41.9041557312012,14.0682029724121,30.3771896556823
750,41.8339996337891,15.713921546936,30.0417429041147
900,41.0193405151367,15.3151512145996,30.3748873605044
1050,39.7549247741699,15.9460134506226,29.5408050232349
1200,42.0371131896973,14.7518215179443,29.9297605263972
1350,39.5147094726562,17.2478733062744,29.4190609098884
1500,38.8363609313965,16.4820365905762,29.3885922948201
1650,39.626522064209,16.8426914215088,29.7536689849033
1800,36.4370384216309,15.7813005447388,29.7529879596009
1950,37.4277076721191,17.3584766387939,29.5973996200829
2100,39.3515357971191,15.6694526672363,29.5593598403762
2250,39.1287612915039,14.5179252624512,29.8858532626295
2400,38.5667304992676,15.9738063812256,29.7687268953512
2550,38.6345481872559,14.7253818511963,29.783972450304
2700,40.5675239562988,16.4513931274414,29.5961453558038
2850,40.7325973510742,16.1414203643799,29.8299127199252
3000,39.5189361572266,16.1330509185791,29.3641305635376
3150,41.2442283630371,16.4571762084961,29.7800162804449
3300,42.3879051208496,17.7595844268799,29.2009383516509
3450,40.1031532287598,16.8290271759033,28.9603139998203
3600,40.3163986206055,16.6544227600098,28.8258179931601
3750,40.0366668701172,17.6844329833984,28.6666958402015
3900,38.2400093078613,17.0840682983398,28.4082420227143
4050,38.8485412597656,16.2225170135498,28.7615952964379
4200,39.6889228820801,15.603048324585,28.797820838696
4350,39.0328979492187,15.4670991897583,28.8279594722987
4500,38.3364562988281,16.5444831848145,28.6559803437605
4650,40.4846343994141,15.5385417938232,28.9050061540557
4800,39.1655235290527,16.9638481140137,28.4669018933531
4950,39.1858863830566,15.8410501480103,28.4714524076765
5100,37.4470977783203,16.8547954559326,28.2038752939365
5250,36.4582481384277,15.745698928833,28.0593500545456
5400,36.1437187194824,16.4462985992432,28.1133501033979
5550,36.4336891174316,16.0938034057617,27.966935598673
5700,36.6650619506836,16.4717674255371,27.9733308931215
5850,37.0864906311035,16.1592693328857,28.0900736122946
6000,36.2994041442871,15.9798698425293,28.0040633126795
6150,35.9251937866211,15.3643264770508,28.146202261184
6300,36.277286529541,15.1473388671875,28.054284399614
6450,36.715892791748,16.4381523132324,28.1172027725417
6600,36.6812973022461,15.51673412323,28.3902678531295
6750,33.7003402709961,16.4623737335205,28.393359651883
6900,35.5840492248535,17.0027027130127,28.3800109899801
7050,35.2494277954102,16.7972164154053,28.2093790378142
7200,36.813777923584,16.1273632049561,28.1983963427791
7350,37.4182434082031,16.1877174377441,28.1601501865824
7500,37.9338035583496,16.0096893310547,27.9543436664868
7650,38.3560981750488,17.139347076416,27.756270300796
