#Simulation Analysis Results CSV File 2019-06-08T20:07:30.004048,,
"#Generated on structure: ""frame000000""",,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_FMN - Heme
0,40.9138336181641,12.7347803115845
150,37.6524200439453,13.597393989563
300,38.5038833618164,13.8957920074463
450,39.4309730529785,13.3596658706665
600,41.7375144958496,13.3896532058716
750,40.7600173950195,13.025637626648
900,40.251579284668,12.4086122512817
1050,40.9515724182129,13.6276931762695
1200,41.1379051208496,14.515754699707
1350,38.7669563293457,13.9561500549316
1500,38.3086128234863,15.6279602050781
1650,39.9008827209473,13.8930311203003
1800,40.4441184997559,16.1912879943848
1950,40.2373504638672,14.1807613372803
2100,41.2271461486816,12.7265710830688
2250,39.1931419372559,13.7807703018188
2400,38.7456932067871,13.3533973693848
2550,39.1700286865234,12.8093090057373
2700,40.4970626831055,13.1833591461182
2850,40.5685195922852,14.0595302581787
3000,39.3635406494141,14.2040481567383
3150,42.2166519165039,13.8503551483154
3300,42.6198654174805,14.182466506958
3450,40.7200126647949,12.9301481246948
3600,43.7609710693359,14.163257598877
3750,41.9542503356934,13.4276638031006
3900,39.4644355773926,13.7819290161133
4050,38.198371887207,13.8632011413574
4200,39.2067108154297,13.6036567687988
4350,41.1200637817383,14.3145847320557
4500,41.4780197143555,14.3134651184082
4650,40.7959823608398,13.7323513031006
4800,41.5770301818848,14.5341348648071
4950,40.9289093017578,14.7375755310059
5100,41.745662689209,14.6921377182007
5250,37.1254577636719,16.9519596099854
5400,36.6796340942383,16.6759395599365
5550,37.5238876342773,16.4003734588623
5700,36.2376670837402,16.5804862976074
5850,36.5207099914551,16.8783931732178
6000,36.2248573303223,16.5562381744385
6150,34.9581565856934,17.8627548217773
6300,35.3098373413086,16.73801612854
6450,36.9079551696777,17.0999050140381
6600,37.417797088623,17.6487979888916
6750,38.1072196960449,17.2265224456787
6900,35.581371307373,17.5266780853271
7050,37.1857757568359,16.7554492950439
7200,36.9868850708008,17.9589614868164
7350,37.2496299743652,16.620231628418
7500,34.8979721069336,17.7412509918213
7650,36.1744346618652,15.4689493179321
7800,34.268383026123,16.2018909454346
7950,34.2685737609863,15.9654035568237
8100,34.8168640136719,16.9196224212646
8250,35.1544570922852,16.7752914428711
8400,34.6837196350098,16.651891708374
8550,34.2049751281738,15.7710762023926
8700,35.040828704834,17.0167598724365
8850,36.4201126098633,16.5908203125
9000,36.2361297607422,16.5536575317383
9150,35.31494140625,18.0273303985596
9300,35.0128288269043,17.2536182403564
9450,33.2869071960449,17.1711502075195
9600,34.9675559997559,17.4528217315674
9750,33.9823913574219,18.6754760742188
9900,33.6588897705078,17.1255283355713
10050,34.4716148376465,17.6807708740234
10200,34.49853515625,18.4059715270996
10350,35.7386703491211,17.4646625518799
10500,35.6404342651367,17.3850440979004
10650,34.5466346740723,16.9133453369141
10800,35.3905143737793,16.2797451019287
10950,36.3677978515625,17.5724868774414
11100,33.8252258300781,17.1983604431152
11250,33.3193283081055,16.9625186920166
11400,33.1773109436035,17.2735748291016
11550,32.9855003356934,16.9565010070801
11700,32.9746856689453,17.5237522125244
11850,33.4249305725098,16.9391174316406
12000,31.7511577606201,16.7721881866455
12150,33.4558486938477,16.8773880004883
12300,32.4375991821289,16.806640625
12450,34.1213073730469,18.636625289917
12600,35.5516815185547,16.8366184234619
12750,36.0781402587891,15.9849758148193
12900,33.6798133850098,16.4473190307617
13050,34.7446975708008,18.9138031005859
13200,32.9785652160645,17.8949089050293
13350,35.1267356872559,18.3696384429932
13500,33.0696716308594,19.4722557067871
13650,33.5441551208496,18.0377998352051
13800,33.6403388977051,16.7990264892578
13950,33.0215339660645,17.6921691894531
14100,34.3212776184082,15.656044960022
14250,33.7535209655762,16.418529510498
14400,34.6040840148926,16.62038230896
14550,36.0389366149902,16.4779167175293
14700,33.139347076416,17.4510307312012
14850,32.5544281005859,17.3997669219971
15000,31.8318328857422,17.7610244750977
15150,30.0165729522705,17.9704151153564
15300,33.0252342224121,18.3812732696533
15450,32.7206192016602,17.1289958953857
15600,33.4841270446777,17.7088241577148
15750,32.145580291748,16.8876419067383
15900,33.0407905578613,18.2741279602051
16050,33.487232208252,17.4781303405762
16200,34.0736885070801,16.5191669464111
16350,33.2489013671875,17.7406196594238
16500,33.868953704834,16.987907409668
16650,33.1395874023437,17.3139801025391
16800,32.7580986022949,17.6012763977051
16950,32.6909713745117,17.6018695831299
17100,32.962833404541,18.0446319580078
17250,35.2936172485352,17.95676612854
17400,35.2803344726563,16.8921089172363
17550,37.5400505065918,16.3679141998291
17700,36.2120208740234,17.8908195495605
17850,36.3669700622559,17.0390453338623
18000,37.1033973693848,16.60426902771
18150,35.3927841186523,16.5345058441162
18300,35.716136932373,17.2596893310547
18450,34.8121109008789,17.2495098114014
18600,32.9041366577148,17.3409233093262
18750,33.242015838623,17.3397998809814
18900,33.6020965576172,17.3376979827881
19050,32.5262832641602,17.1760501861572
19200,33.8193168640137,17.7826156616211
19350,35.3108863830566,17.1511917114258
19500,34.1716384887695,17.9803218841553
19650,33.8749160766602,17.1954250335693
19800,33.5501289367676,17.6027050018311
19950,34.7399711608887,17.711051940918
20100,35.9161529541016,16.5886726379395
20250,34.9698524475098,17.120777130127
20400,31.5595550537109,17.9775657653809
20550,31.9176788330078,18.2382888793945
20700,33.8550224304199,16.8534107208252
20850,36.3242454528809,17.0742416381836
21000,33.9778709411621,18.5416488647461
21150,34.3118705749512,17.8124542236328
21300,35.0293807983398,17.4670429229736
21450,33.9868240356445,17.341136932373
21600,34.3817558288574,17.2056255340576
21750,33.0678672790527,17.6550617218018
21900,33.8291397094727,17.5583763122559
22050,33.2088775634766,16.9122161865234
22200,33.0724334716797,18.0664463043213
22350,33.7224006652832,16.4597682952881
22500,34.3779716491699,17.3026313781738
22650,31.8820705413818,16.1340808868408
22800,34.5956726074219,17.5207767486572
22950,32.3397941589355,16.7122383117676
23100,34.0329513549805,17.6764621734619
23250,32.9145736694336,16.9386215209961
23400,31.7955207824707,17.0890045166016
23550,33.4184150695801,17.1098403930664
23700,34.4758071899414,17.1364002227783
23850,33.8426094055176,16.8861885070801
24000,33.9816093444824,17.5779247283936
24150,33.7016296386719,16.8596477508545
24300,33.9336204528809,17.8594360351563
24450,35.2619476318359,17.1060066223145
24600,34.8887672424316,16.9815502166748
24750,33.6594848632812,17.4900207519531
24900,33.4897117614746,17.8229999542236
25050,34.5227813720703,17.8634090423584
25200,35.0429649353027,17.2819766998291
25350,34.8908996582031,17.7481288909912
25500,33.2236747741699,17.7984752655029
25650,34.1269035339355,17.6096172332764
25800,32.9446296691895,17.7323780059814
25950,34.675724029541,17.4895458221436
26100,34.3539619445801,18.0113315582275
26250,35.0778999328613,17.9707431793213
26400,35.2438278198242,17.7492065429688
26550,35.7191123962402,17.9847812652588
26700,34.8432426452637,17.8366870880127
26850,33.9803276062012,17.9801139831543
27000,35.2842292785645,17.5139694213867
27150,35.9635200500488,17.3898048400879
27300,33.8603324890137,17.4283847808838
27450,37.0537033081055,17.5082302093506
27600,37.485179901123,17.7726402282715
27750,37.7401924133301,17.9958114624023
27900,37.584587097168,16.6986541748047
28050,37.4545822143555,16.5307750701904
28200,36.3532485961914,17.2852096557617
28350,37.748607635498,16.9712390899658
28500,37.8194770812988,17.2647933959961
