#Simulation Analysis Results CSV File 2019-01-24T09:22:49.977794,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8M-FMN_C8M,Distance_FMN_C7M-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
0,39.9749145507812,12.4537572860718,29.7766394989489,4
150,40.4054298400879,13.658652305603,30.4381277806735,3
300,37.444580078125,15.1475849151611,30.1985645511954,3
450,39.0974884033203,13.8941097259521,30.6362803612091,7
600,38.6160011291504,13.3590784072876,30.1741000832036,3
750,37.5042724609375,13.8106203079224,30.5278640639688,6
900,36.6746673583984,13.6766157150269,30.292886809816,7
1050,35.8890609741211,13.8226432800293,29.6416307306047,3
1200,34.2291526794434,15.1830568313599,29.6729166887264,4
1350,32.0653839111328,14.3206119537354,29.7361156323009,3
1500,33.7689476013184,15.0250663757324,29.5301044747447,2
1650,33.3214111328125,16.3375415802002,29.6468400050024,4
1800,33.285572052002,16.7840881347656,29.1762749065681,6
1950,35.2451286315918,16.22629737854,29.2556607346754,6
2100,34.950984954834,16.0626201629639,29.1729784878083,4
2250,32.7262115478516,16.2000312805176,29.0683145480734,4
2400,33.107006072998,17.4244785308838,29.1704826114299,6
2550,32.8165855407715,17.7171058654785,28.9928468440457,4
2700,31.1152000427246,19.7179946899414,28.8329329343768,5
2850,29.2629222869873,18.7820568084717,28.7824298973506,6
3000,28.9055862426758,19.7479724884033,29.1152647365843,7
3150,25.2486591339111,20.1624050140381,28.996049047133,8
3300,27.742130279541,21.5589637756348,28.8248563764375,7
3450,28.6166477203369,20.9532451629639,29.0979296728261,7
3600,29.2343006134033,20.2620601654053,29.0250094338588,6
3750,28.1041488647461,22.0040054321289,28.9206158344132,6
3900,28.8591632843018,21.1307468414307,28.9465412516143,7
4050,27.4169330596924,22.0528602600098,28.8498227838175,9
4200,29.3625907897949,20.6590938568115,29.2351566918208,9
4350,29.0599899291992,21.7035427093506,28.7460490316117,8
4500,29.6112804412842,20.7434368133545,28.950515667137,10
4650,29.3119468688965,20.6468505859375,29.1793450436535,12
4800,28.5391635894775,21.6846981048584,29.1352940296058,10
4950,29.799747467041,21.4638633728027,29.1685173095413,11
5100,29.3303184509277,21.8008689880371,29.2610961796577,10
5250,30.7627868652344,22.4186878204346,29.5095454059749,9
5400,31.029712677002,21.803897857666,29.3569669098948,9
5550,30.5154075622559,21.4610805511475,29.0112533784798,11
5700,31.3316593170166,21.4342765808105,29.3700135167777,10
5850,31.3560199737549,22.226490020752,28.9494977506835,11
6000,29.7411956787109,21.5877857208252,28.9634012353364,12
6150,27.5408744812012,21.1105003356934,28.5225640898056,10
6300,27.5336589813232,21.6157627105713,28.6685378776514,9
6450,26.7884330749512,22.3731288909912,29.1726837343426,10
6600,27.7105522155762,21.592472076416,28.8598774366805,10
6750,28.5026149749756,21.9234981536865,28.8776429743487,11
6900,29.0095119476318,22.8210849761963,29.0407633052374,10
7050,28.862907409668,21.9510440826416,28.7942758124774,11
7200,27.938081741333,24.1497898101807,28.9880268549084,9
7350,29.6471462249756,23.0983829498291,28.8807356087124,10
7500,28.4621200561523,21.2547054290771,28.5478569192453,9
7650,27.9607315063477,21.2045097351074,28.6388681573017,11
7800,26.4174900054932,21.1472110748291,28.6075218625802,10
7950,30.8918857574463,20.7953948974609,28.7505525896263,9
8100,28.6095066070557,20.31467628479,28.9340807672274,12
8250,29.3130207061768,20.7504959106445,28.964988958841,10
8400,27.557165145874,20.5800189971924,28.8381243512167,10
8550,26.9955139160156,21.5468978881836,28.5801503232592,12
8700,28.119234085083,21.4899635314941,28.4394754472668,12
8850,30.7871322631836,23.2094535827637,28.4679109137424,11
9000,29.4650192260742,21.4941329956055,28.4710533217235,10
9150,29.8625354766846,20.0570869445801,28.5685939505998,12
9300,29.6543006896973,21.2790508270264,28.7644145077243,14
9450,27.4696311950684,21.4284038543701,28.8629246823779,9
9600,27.1490268707275,22.4480133056641,29.1120368987649,10
9750,27.7387065887451,20.1812381744385,28.5282804430356,9
9900,27.8179607391357,20.5638103485107,28.9198987158424,9
10050,29.3939819335937,20.9581546783447,28.7246079189588,11
10200,28.642520904541,20.6894378662109,28.8118317096247,9
10350,28.1862297058105,20.3773651123047,28.7506409897961,9
10500,27.9356498718262,20.8577156066895,28.6087717074512,7
10650,28.6748065948486,21.2986164093018,28.8416975400022,9
10800,28.6179237365723,20.8685874938965,28.8178151860048,9
10950,29.8945331573486,19.2862644195557,28.9484011552345,9
11100,28.0817966461182,20.862419128418,28.8872112486428,9
11250,28.5481815338135,21.3195629119873,28.8890410089023,9
11400,27.8983020782471,21.7512912750244,28.4136010455859,8
11550,28.0163326263428,21.2455577850342,28.9049047972205,5
11700,28.9580020904541,19.6539993286133,28.865866023481,11
11850,29.1131553649902,19.5027008056641,28.7135887281113,9
12000,29.2735404968262,20.6350574493408,28.8025411210651,8
12150,29.6795101165771,20.555534362793,28.7191377294599,9
12300,28.3105888366699,21.4126071929932,28.9718714693651,10
12450,28.8871078491211,20.9947090148926,29.0800898129869,12
12600,29.1693248748779,20.3015995025635,28.8687447827296,9
12750,29.6935634613037,21.0342063903809,28.7609674291607,9
12900,29.3659858703613,21.1605491638184,28.9359440299503,9
13050,28.5144577026367,20.3491725921631,28.9015054384457,9
13200,29.9006805419922,20.86594581604,28.7836525277318,11
13350,29.6002349853516,21.4634475708008,28.8225814266101,10
13500,28.3502731323242,20.8271255493164,28.7436967140111,10
13650,30.2407493591309,20.9821186065674,28.8370393124726,10
13800,29.1408824920654,20.8572330474853,28.6013748182143,11
13950,29.7316303253174,21.4071865081787,28.8722589934037,8
14100,28.6021060943604,20.2093963623047,28.5060299627858,10
14250,29.7358665466309,20.3374938964844,28.6319576759031,12
14400,30.2875728607178,20.3087768554687,28.9734975083721,12
14550,29.7752456665039,21.669506072998,28.6999486523931,13
14700,29.8388748168945,21.0902824401855,28.7991782594451,10
14850,29.3702907562256,21.0676498413086,28.6371674262212,10
15000,30.1696834564209,21.6053714752197,28.9641390396469,12
15150,29.3581237792969,21.8907032012939,28.6150269922108,11
15300,29.0609226226807,21.4235725402832,28.562668635496,11
15450,28.719202041626,20.4778785705566,28.5545700289846,11
15600,30.0359325408936,20.9944400787354,28.2409770139674,10
15750,28.1291999816895,22.3718662261963,28.4227047070925,12
15900,30.2165718078613,21.6138668060303,28.6965720216246,12
16050,29.6682395935059,19.649938583374,28.6705102890343,12
16200,28.9542655944824,20.3623943328857,28.5108973932543,11
16350,28.6675357818604,19.3417835235596,28.6781663320008,9
16500,30.0324535369873,20.715576171875,28.6861289231652,10
16650,29.6193923950195,20.0221633911133,28.6887662632609,10
16800,26.3688335418701,20.9266796112061,28.3359443566371,13
16950,27.7635955810547,20.0960025787354,28.3483958405444,12
17100,26.632776260376,20.3844604492187,28.1755576328811,15
17250,27.3680152893066,20.762716293335,28.2268176436604,12
17400,27.6501998901367,19.762077331543,28.110920784558,13
17550,27.7002792358398,21.0661373138428,27.9664614416944,11
17700,26.6820755004883,20.6771144866943,28.130687687443,11
17850,26.598072052002,20.0701885223389,28.1878713366155,13
18000,25.470703125,21.0470180511475,28.2157798438834,12
18150,26.5836982727051,19.8689556121826,28.2319939840684,11
18300,27.764289855957,20.0756759643555,28.2553593342523,11
18450,27.8115768432617,20.1486701965332,28.1257960588665,11
18600,27.7936172485352,19.9955158233643,28.0916658730829,13
18750,26.032693862915,21.5095615386963,28.1804981578121,10
18900,27.4643859863281,20.9971828460693,28.0693662168721,13
19050,27.8926811218262,20.1134757995605,28.258271042673,11
19200,29.1638240814209,20.0915985107422,28.3307249931388,12
19350,28.2407302856445,20.7660884857178,28.411412555604,11
19500,27.4904251098633,20.7163925170898,28.3696599988315,10
19650,28.5171337127686,20.6673698425293,28.477359322603,12
19800,29.3949584960937,20.6576824188232,28.4648201183696,10
19950,29.7688407897949,20.7561416625977,28.323770920506,12
20100,26.2009963989258,22.5239543914795,28.20431007719,11
20250,28.7085247039795,20.0041561126709,28.4446065985304,11
20400,27.8452663421631,20.0770359039307,28.291704993426,10
20550,29.711971282959,21.6807632446289,28.412291150758,10
20700,29.9514770507812,22.167911529541,28.288117699569,13
20850,27.8381576538086,21.141487121582,28.2313475788485,12
21000,28.2489757537842,20.7996635437012,28.4868381543729,12
21150,28.1993560791016,21.0600090026855,28.235121858382,10
21300,28.1178436279297,21.1702308654785,28.266549652762,10
21450,29.7450561523437,21.4509792327881,28.6308357795037,11
21600,27.2147407531738,21.5406284332275,28.4818538396918,8
21750,28.3801765441895,20.4150676727295,28.7286563602582,7
21900,29.3129482269287,21.1369018554687,28.7219978034797,10
22050,27.1083335876465,21.089635848999,28.3176598075033,12
22200,28.8356761932373,20.4584083557129,28.4592813843896,11
22350,28.0194664001465,20.3293800354004,28.4808977873551,12
22500,27.3056602478027,21.7671527862549,28.3610009517332,12
22650,28.8427619934082,21.1724872589111,28.331923582569,15
22800,26.8400402069092,20.3039741516113,28.3059710127346,11
22950,28.8008365631104,21.0728816986084,28.4080671826848,12
23100,28.4035701751709,20.9948825836182,28.5117898424534,11
23250,27.6793460845947,21.0155124664307,28.7527082748052,13
23400,28.9535274505615,20.8717956542969,28.3152271690677,11
23550,27.3886680603027,21.5955257415771,28.4561422210475,11
23700,28.1280765533447,21.1272201538086,28.367287718818,13
23850,27.5736656188965,20.5839233398437,28.5360529493968,12
24000,27.0650825500488,20.9376735687256,28.5335943754794,11
24150,28.6737689971924,20.4281711578369,28.5297715297002,11
24300,28.0523948669434,20.1049671173096,28.4672093012286,11
24450,28.2040634155273,20.0918006896973,28.600053910385,13
24600,26.6184902191162,21.6194705963135,28.4798817365753,13
24750,28.2520332336426,21.951696395874,28.7363739182859,9
24900,28.2445163726807,21.2724437713623,28.726940915847,9
25050,29.1953563690186,20.9344100952148,28.6532762321264,14
25200,27.3641624450684,20.6676406860352,28.4974863976824,12
25350,29.5727615356445,20.8450946807861,28.6198025988742,10
