Frame,HEM800-ACE918
0,5.241663
1,7.710423
2,7.539869
3,7.423943
4,7.573409
5,7.061468
6,6.780471
7,7.339243
8,8.851945
9,10.357137
10,10.127048
11,10.011055
12,10.357621
13,9.035282
14,9.160675
15,8.607360
16,8.898939
17,9.423888
18,9.375263
19,8.903557
20,8.613662
21,6.962225
22,9.431789
23,8.923738
24,9.675011
25,9.005138
26,7.357990
27,7.930540
28,8.081021
29,7.303218
30,7.605184
31,7.360707
32,7.257040
33,8.733579
34,7.713924
35,8.396856
36,8.661759
37,8.549828
38,9.090648
39,8.785977
40,9.017621
41,8.527570
42,6.735337
43,8.087019
44,8.332085
45,7.668100
46,7.522923
47,7.133148
48,7.439283
49,7.521622
50,12.306715
51,12.646386
52,11.840192
53,12.818914
54,9.557131
55,13.215571
56,8.845320
57,13.259568
58,11.798779
59,12.070571
60,12.297522
61,9.534478
62,10.315631
63,11.751014
64,11.540117
65,12.128465
66,10.811479
67,8.089214
68,8.672522
69,7.808997
70,8.475906
71,8.762794
72,9.062157
73,8.530575
74,10.756336
75,10.803944
76,10.687136
77,10.175793
78,13.237096
79,12.449826
80,11.546563
81,12.030025
82,11.195412
83,12.628229
84,13.118261
85,11.790527
86,11.332973
87,11.549993
88,12.067591
89,12.072822
90,12.396426
91,13.015275
92,12.852530
93,13.096982
94,13.709568
95,13.969712
96,9.300186
97,7.704335
98,7.361666
99,9.212000
100,7.654070
101,7.431019
102,7.869955
103,7.876755
104,7.495907
105,7.307715
106,7.788281
107,7.780945
108,7.187123
109,6.903837
110,7.222194
111,7.426481
112,6.982243
113,7.626609
114,7.492368
115,7.486328
116,7.342321
117,7.704841
118,7.165775
119,7.591837
120,7.342301
121,7.436047
122,7.583222
123,7.668216
124,8.597251
125,5.888172
126,6.763002
127,6.286025
128,6.385002
129,5.928322
130,9.055876
131,6.744455
132,6.264960
133,7.439832
134,7.560989
135,7.460055
136,6.105797
137,6.232705
138,7.574836
139,7.322026
140,6.468860
141,7.291882
142,7.355114
143,6.442801
144,6.918042
145,7.003473
146,6.793998
147,9.210389
148,7.663755
149,7.169449
150,6.917662
151,7.511995
152,7.128585
153,6.479592
154,6.705030
155,7.618691
156,9.922949
157,10.455210
158,13.715280
159,13.603993
160,13.686308
161,13.402088
162,14.419131
163,13.781910
164,14.443181
165,14.821885
166,14.193084
167,14.699611
168,14.863490
169,14.472341
170,14.049564
171,14.678782
172,14.123881
173,14.533330
174,14.474013
175,13.921648
176,14.147444
177,14.332197
178,13.594958
179,14.182954
180,14.209567
181,13.741852
182,13.935897
183,14.282339
184,14.298040
185,14.158031
186,14.059378
187,14.494222
188,14.302971
189,13.611539
190,14.076703
191,14.209089
192,14.415412
193,13.891906
194,13.807496
195,14.599731
196,12.974537
197,13.419621
198,12.869769
199,13.467485
200,14.145237
