#Simulation Analysis Results CSV File 2019-01-03T11:47:22.820065,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8-FMN_C8,Distance_FMN_C7-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
18450,27.2963848114014,17.9538593292236,26.9323245644141,14
18600,28.0473594665527,17.3812046051025,27.019452393773,13
18750,28.4284000396728,17.5467071533203,27.2181174534232,15
18900,28.0477809906006,18.6054763793945,27.2497686516578,15
19050,27.8644771575928,17.2438831329346,27.0494147234985,11
19200,28.5575065612793,17.8090705871582,27.2475484470987,13
19350,27.2116050720215,17.8873138427734,27.3658633192058,14
19500,28.0559329986572,17.9132385253906,27.4119101663332,13
19650,27.3880348205566,18.3563060760498,27.2198869975372,13
19800,29.0438919067383,18.1223316192627,27.3224677751616,13
19950,28.2063217163086,17.9180107116699,27.1742861541173,11
20100,28.1721019744873,18.3051509857178,27.3527225893931,13
20250,28.6054363250732,18.5889225006104,27.2370791549391,11
20400,27.3726329803467,17.7553443908691,27.1183943437007,10
20550,27.8633975982666,18.0048217773437,27.0833973954167,14
20700,27.290132522583,18.8009128570557,27.0459723197669,13
20850,28.2074375152588,17.6793403625488,27.2972806618573,14
21000,27.6898040771484,18.0989990234375,27.4332678800299,13
21150,27.0432987213135,18.1182479858398,26.8394137325216,15
21300,28.8009700775146,18.4732513427734,27.1705652889224,13
21450,27.9185791015625,18.2995643615723,26.9898040404267,11
21600,28.5320224761963,18.4302749633789,27.4598643510938,11
21750,28.3121967315674,17.922176361084,27.380373583572,11
21900,28.9181251525879,18.5410842895508,27.3432964061825,12
22050,28.2891330718994,18.666561126709,27.5183773130717,10
22200,27.9364719390869,18.3184185028076,27.4094957300401,14
22350,27.3981170654297,18.73264503479,27.2597439910343,14
22500,27.953218460083,17.5662117004395,27.2587282170009,11
22650,27.544584274292,18.2344722747803,27.3708118932899,14
22800,26.9679355621338,18.5868167877197,27.2021909083421,13
22950,27.8433780670166,18.5803928375244,27.3820782957347,14
23100,28.3174419403076,18.8423728942871,27.2419826949557,13
23250,27.1541271209717,18.8340530395508,27.0386103168447,11
23400,27.30295753479,17.5233821868896,27.166753898686,12
23550,27.9135036468506,17.7075004577637,27.0971679234924,13
23700,26.810209274292,16.9383640289307,26.9921447965648,11
23850,26.3828525543213,17.8435249328613,27.0769312650054,12
24000,27.2354793548584,17.8301372528076,27.1203273887,16
24150,26.719352722168,17.6315441131592,27.0842359847968,12
24300,27.1815853118896,17.7983112335205,27.2359450520709,12
24450,26.0394172668457,18.0722770690918,26.9959457617585,12
24600,27.9381427764893,17.5509433746338,27.1252439808012,14
24750,28.4553298950195,17.2622833251953,27.3036567954366,12
24900,26.958911895752,17.7661609649658,27.076956987541,13
25050,26.8210105895996,18.491117477417,26.8368089065021,13
25200,26.3601856231689,17.9045963287354,26.7614290982687,14
25350,27.7826251983643,17.3371276855469,26.8717055486996,12
25500,27.3326187133789,17.5622177124023,26.971341279278,9
25650,27.3940334320068,17.6554050445557,27.0104712740843,9
25800,27.0284023284912,17.5350494384766,26.8336298872932,11
25950,27.2811679840088,17.324556350708,27.0431853893778,11
26100,28.1495418548584,17.3742351531982,27.2313337663277,12
26250,27.5124588012695,18.0031967163086,27.1711353882119,11
26400,27.5834407806396,18.0048828125,27.171884400894,10
26550,27.5278930664062,17.2295017242432,27.0642250718063,12
26700,28.650577545166,17.9749031066895,27.1750791137444,10
