#Simulation Analysis Results CSV File 2019-06-08T19:02:45.149537,,
"#Generated on structure: ""frame000000""",,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_FMN - Heme
0,40.436954498291,12.8705387115479
150,37.4160919189453,13.5732412338257
300,35.8311500549316,14.3472566604614
450,38.2132530212402,14.1812543869019
600,35.7443008422852,14.5486946105957
750,33.5273399353027,15.178201675415
900,34.2703857421875,15.3748693466187
1050,33.7544479370117,15.1827383041382
1200,34.089168548584,14.7630739212036
1350,34.0962104797363,14.9552173614502
1500,33.1173248291016,15.90478515625
1650,35.6081809997559,15.854564666748
1800,34.6147079467773,16.8179798126221
1950,35.2657508850098,19.6007347106934
2100,34.5782699584961,17.1466789245605
2250,33.753791809082,17.7273845672607
2400,35.1269416809082,16.9374351501465
2550,34.482666015625,16.4288921356201
2700,34.0410995483398,15.4868135452271
2850,34.3742370605469,15.6121397018433
3000,34.5586395263672,16.1274032592773
3150,34.265380859375,15.9524555206299
3300,34.8615951538086,17.0174732208252
3450,33.6647605895996,16.5729503631592
3600,35.1327667236328,16.2750396728516
3750,35.6372909545898,15.2991132736206
3900,35.9350738525391,13.384425163269
4050,35.7449607849121,14.2409152984619
4200,36.1601333618164,13.786452293396
4350,34.9988861083984,14.2744646072388
4500,34.6062812805176,14.6921663284302
4650,34.0074310302734,14.089165687561
4800,35.859619140625,14.2126922607422
4950,33.6576080322266,14.382905960083
5100,36.3796768188477,14.2336101531982
5250,34.0040664672852,15.6695051193237
5400,34.8003997802734,15.3914318084717
5550,33.9922370910645,14.7805700302124
5700,33.5527229309082,15.5780162811279
5850,35.3497886657715,15.7470235824585
6000,36.8804588317871,15.2459831237793
6150,35.3031730651855,15.1020402908325
6300,35.6328887939453,15.6871690750122
6450,34.3661689758301,15.507287979126
6600,35.650707244873,15.5675535202026
6750,35.3227920532227,15.9775018692017
6900,35.5443992614746,16.2022037506104
7050,34.3358688354492,16.906078338623
7200,36.2545280456543,15.7948989868164
7350,35.5200729370117,16.4844799041748
