#Simulation Analysis Results CSV File 2019-04-26T18:19:48.849447
#Generated on structure: "frame000530"
TimeStep,Energy_Coulomb_Self_Unnamed,Energy_Coulomb_Solute_Unnamed,Energy_Coulomb_Membrane_Unnamed,Energy_Coulomb_Solvent_Unnamed,Energy_Coulomb_Other_Unnamed,Energy_vdW_Self_Unnamed,Energy_vdW_Solute_Unnamed,Energy_vdW_Membrane_Unnamed,Energy_vdW_Solvent_Unnamed,Energy_vdW_Other_Unnamed,Energy_Bond_Self_Unnamed,Energy_Bond_Solute_Unnamed,Energy_Bond_Membrane_Unnamed,Energy_Bond_Solvent_Unnamed,Energy_Bond_Other_Unnamed,Energy_Angle_Self_Unnamed,Energy_Angle_Solute_Unnamed,Energy_Angle_Membrane_Unnamed,Energy_Angle_Solvent_Unnamed,Energy_Angle_Other_Unnamed,Energy_Torsion_Self_Unnamed,Energy_Torsion_Solute_Unnamed,Energy_Torsion_Membrane_Unnamed,Energy_Torsion_Solvent_Unnamed,Energy_Torsion_Other_Unnamed,Energy_Total_Self_Unnamed,Energy_Total_Solute_Unnamed,Energy_Total_Membrane_Unnamed,Energy_Total_Solvent_Unnamed,Energy_Total_Other_Unnamed
1440.0,6089.32129,-292.414333,-185.28023,-12418.8077,-4.26876533,-1570.2503100000004,-105.562829,-261.631561,-488.407328,-0.0819196664,1948.93688,0.0,0.0,0.0,0.0,5228.79119,0.0,0.0,0.0,0.0,2721.98215,0.0,0.0,0.0,0.0,46897.258,-493.740862,-1449.83211,-20778.0044,-327.691664
1560.0,5930.294459999999,-290.305019,-203.961443,-12315.7326,-2.97325874,-1441.1037600000004,-98.5088218,-263.726638,-550.477875,-0.0529204079,1992.84138,0.0,0.0,0.0,0.0,5314.09319,0.0,0.0,0.0,0.0,2745.40706,0.0,0.0,0.0,0.0,46980.0835,-469.319724,-1376.69285,-20644.378,-295.798749
1680.0,5957.4079600000005,-306.883977,-219.995532,-12331.9187,-39.443489,-1491.51852,-105.965937,-245.168383,-538.264651,2.28745644,2008.86527,0.0,0.0,0.0,0.0,5210.69463,0.0,0.0,0.0,0.0,2713.906,0.0,0.0,0.0,0.0,46927.3332,-496.280256,-1355.42952,-20770.9639,-443.548839
1800.0,5956.95134,-295.87491,-232.022956,-12157.5263,-24.4995661,-1458.3832400000006,-92.6311835,-240.259036,-593.30683,3.51035773,2015.57482,0.0,0.0,0.0,0.0,5276.09333,0.0,0.0,0.0,0.0,2809.47023,0.0,0.0,0.0,0.0,47001.3458,-440.059664,-1400.93632,-20525.8245,-326.590221
1920.0,5999.6101,-299.663473,-211.192717,-12255.4712,-17.4039467,-1519.4331899999997,-100.118643,-244.1632,-632.65987,1.51753702,1969.19945,0.0,0.0,0.0,0.0,5281.15041,0.0,0.0,0.0,0.0,2751.59619,0.0,0.0,0.0,0.0,46913.7861,-429.92805,-1276.37389,-20692.6862,-355.778202
2040.0,6026.269260000001,-283.723071,-216.731082,-12508.1266,-27.3681948,-1538.6699199999998,-102.764165,-246.548004,-558.624726,1.16385654,2054.92986,0.0,0.0,0.0,0.0,5304.71554,0.0,0.0,0.0,0.0,2777.31635,0.0,0.0,0.0,0.0,47079.0286,-457.100526,-1255.87334,-20856.1684,-437.069641
2160.0,6045.07287,-277.80533,-214.418753,-12349.8747,-0.710230372,-1481.7286700000004,-114.41703,-253.608703,-598.966392,-0.0316106714,2001.71221,0.0,0.0,0.0,0.0,5273.74505,0.0,0.0,0.0,0.0,2813.91763,0.0,0.0,0.0,0.0,47086.793,-435.497883,-1226.7789,-21192.1391,-197.720127
2280.0,6011.813399999999,-296.075224,-239.694435,-12370.4682,-0.00155078973,-1550.5154699999998,-107.519407,-238.028263,-501.685885,-0.00101007387,1978.28145,0.0,0.0,0.0,0.0,5315.62805,0.0,0.0,0.0,0.0,2781.3404,0.0,0.0,0.0,0.0,46939.7986,-445.562534,-1222.57448,-20772.0909,-181.871364
2400.0,6049.541660000001,-284.35595,-197.1674,-12501.3479,0.251992494,-1488.0858400000002,-97.0392878,-234.635001,-583.662616,-0.0302854574,2000.89823,0.0,0.0,0.0,0.0,5291.60582,0.0,0.0,0.0,0.0,2783.53668,0.0,0.0,0.0,0.0,47108.0263,-403.303891,-1123.80277,-21307.8084,-202.454344
2520.0,6112.90897,-270.34373,-185.1211,-12834.588,-0.822797324,-1507.2509599999998,-100.073392,-225.679426,-629.801893,-0.0276984523,1980.6488,0.0,0.0,0.0,0.0,5267.6424,0.0,0.0,0.0,0.0,2764.30832,0.0,0.0,0.0,0.0,47162.2229,-397.125195,-1162.94691,-21582.1858,-301.700922
