#Simulation Analysis Results CSV File 2020-11-26T15:04:42.714188
#Generated on structure: "frame1"
TimeStep,Rad_Gyration_glob,Distance_FAD-FMN
0.0,27.496,6.247083225930276
250.002,27.351,9.053923612835533
500.004,27.109,7.9203180175497
750.006,26.988,8.977619038959698
1000.008,26.987,9.38364190526156
1250.01,26.954,9.308652883192927
1500.012,27.058,9.007559792699157
1750.0140000000001,26.987,9.624851342156127
2000.016,26.965,8.854441056782505
2250.018,26.888,7.8473621814566155
2500.02,26.83,9.159193661156515
2750.022,26.811,8.845982566599528
3000.024,26.893,8.780041106961301
3250.0260000000003,26.766,8.993804573082453
3500.0280000000002,26.756,9.030195297403514
3750.03,26.774,8.727955950950832
4000.032,26.605,9.455791616270508
4250.034,26.665,9.7761964411003
4500.036,26.449,9.659264078673463
4750.0380000000005,26.488,9.838864469480171
5000.04,26.462,9.422451067054265
5250.042,26.355,9.116483026984643
5500.044,26.477,8.797942564856575
5750.046,26.537,9.594992629458012
6000.048,26.433,9.145713313155772
6250.05,26.405,9.291223750690023
6500.052000000001,26.371,8.755274582028257
6750.054,26.408,8.737457823995719
7000.0560000000005,26.419,8.751361124001187
7250.058,26.356,9.103618521670676
7500.06,26.33,9.115739661828043
7750.062,26.51,9.076500547475703
8000.064,26.419,9.000230557424835
8250.066,26.412,9.565366355492861
8500.068,26.429,8.593803838689078
8750.07,26.391,9.124432987778157
9000.072,26.416,10.025689048536341
9250.074,26.339,9.900178008620632
9500.076000000001,26.427,8.857772044705088
9750.078,26.347,9.101979834587235
10000.08,26.364,9.191218528860555
10250.082,26.352,9.369507207624395
10500.084,26.379,9.356479133290204
10750.086,26.268,9.11810718967006
11000.088,26.433,9.762408141585018
11250.09,26.477,9.104615440141497
11500.092,26.426,9.490838420034011
11750.094000000001,26.434,8.250788509764442
12000.096,26.521,9.424726553349267
12250.098,26.511,8.944073510314713
12500.1,26.528,8.566897033163729
12750.102,26.531,8.604254625640442
13000.104000000001,26.58,8.795085697397436
13250.106,26.575,8.16855500826265
13500.108,26.589,8.557914020757785
13750.11,26.42,9.297560524226233
14000.112000000001,26.551,8.494075333596369
14250.114,26.566,9.329354699621813
14500.116,26.531,8.920519816623784
14750.118,26.353,8.623635620358
15000.12,26.435,8.66587062981061
15250.122000000001,26.515,8.265869232110395
15500.124,26.343,7.643393397074811
15750.126,26.315,8.06686857970231
16000.128,26.369,7.911645792860954
16250.130000000001,26.406,8.09343471134534
16500.132,26.387,7.3466863417730135
16750.134000000002,26.306,8.262568205900479
17000.136,26.292,7.294249440733184
17250.138,26.319,7.881779916156754
17500.14,26.419,7.847403597664204
17750.142,26.447,7.516769471481986
18000.144,26.506,7.935854409551936
18250.146,26.614,7.521680572115899
18500.148,26.446,7.541297148783705
18750.15,26.46,7.300342117845921
19000.152000000002,26.392,8.182959145865558
19250.154,26.626,8.30089724375979
19500.156,26.538,8.628256175636167
19750.158,26.526,7.076167726883924
20000.16,26.336,8.072127734126486
20250.162,26.414,7.229540575332523
20500.164,26.272,8.321672111192054
20750.166,26.454,6.946715973936298
21000.168,26.47,6.921137619832403
21250.170000000002,26.33,7.970190548247847
21500.172,26.382,7.71233992395677
21750.174,26.364,7.065294590324929
22000.176,26.479,7.428187833008301
22250.178,26.585,8.462234625778624
22500.18,26.651,8.187773909819864
22750.182,26.631,8.638845755675948
23000.184,26.593,8.04697959965618
23250.186,26.693,8.237410239357382
23500.188000000002,26.716,8.414313279725473
23750.19,26.596,7.6984261966479055
24000.192,26.546,7.678656074940993
24250.194,26.633,7.4012039162741665
24500.196,26.555,7.625862462979304
24750.198,26.479,7.4125200218350775
25000.2,26.583,7.908510922736574
25250.202,26.591,7.63204622599533
25500.204,26.659,7.394588763553715
25750.206000000002,26.8,8.784355344927624
26000.208000000002,26.705,8.347784461059975
26250.21,26.649,9.146771360242562
26500.212,26.731,8.072730015493427
26750.214,26.692,7.872057102591437
