#Simulation Analysis Results CSV File 2019-06-07T11:39:57.634739,,,
"#Generated on structure: ""frame000000""",,,
TimeStep,Distance_FMN_C8M-FAD_C8M,Distance_FMN_C7M-heme_Fe,Rad_Gyration_CPR-glob
0,40.603645324707,12.4992198944092,29.8235897749257
150,41.7483215332031,13.5930147171021,30.09232380026
300,42.5459403991699,13.7882652282715,30.4316042621677
450,40.6573524475098,14.1145505905151,29.9884728503311
600,40.9493942260742,13.3681774139404,30.1506253026582
750,41.3904685974121,13.8190155029297,30.533400890582
900,41.4890937805176,14.4513072967529,30.3746998741641
1050,39.6803283691406,14.3115520477295,29.6997174881174
1200,40.7027549743652,13.1046333312988,29.8651145418547
1350,41.0148391723633,13.3319520950317,29.9838706952545
1500,38.9594993591309,13.9761085510254,29.9688843081511
1650,37.6485023498535,14.5146789550781,29.709663676725
1800,37.3361701965332,14.6618757247925,29.562324282484
1950,37.7844657897949,15.4728384017944,29.4952855612675
2100,39.0395355224609,16.3608512878418,29.7606694163214
2250,40.1250534057617,16.5120906829834,29.8956171384651
2400,37.9748306274414,15.743706703186,29.7283091821165
2550,38.9106521606445,15.0417375564575,29.6277624060145
2700,37.9090614318848,14.8707323074341,29.4654856886769
2850,37.6455993652344,16.0284061431885,29.4050384936333
3000,37.4671516418457,15.0389785766602,30.4485058975041
3150,37.537036895752,15.8094005584717,30.1393423174978
3300,37.7316436767578,15.7501945495605,29.6137824823249
3450,38.7321662902832,14.8700008392334,29.687650242861
3600,37.8966865539551,14.6532516479492,29.7922527024435
3750,38.0466423034668,14.8319568634033,29.7444314165292
3900,37.6790351867676,14.9385786056519,29.6895542494322
4050,38.7594909667969,15.256498336792,29.8141723557133
4200,37.2272834777832,14.8577995300293,29.8270087430249
4350,37.5528526306152,14.2328062057495,29.6148305122831
4500,37.641960144043,14.4707803726196,29.6926593364029
4650,36.5575828552246,15.2572927474976,29.1762996023217
4800,35.7803153991699,14.9537982940674,29.3989217178504
4950,35.0807113647461,14.724892616272,29.249639394994
5100,36.9365310668945,14.7913331985474,29.0662832357931
5250,35.9610481262207,15.2856540679932,28.9886492985252
5400,35.0292549133301,14.5292387008667,28.9836275339328
5550,36.2095222473145,14.8796796798706,29.1582744010353
5700,37.2334060668945,14.1984024047852,29.2985208200643
5850,35.1286468505859,14.7014560699463,29.2603402787324
6000,35.6405944824219,14.1866674423218,29.1841166209647
6150,36.7843284606934,14.6012325286865,29.2111908311411
6300,36.5275230407715,14.6765222549438,29.4327212088274
6450,35.9962005615234,14.8282375335693,29.3878654141569
6600,35.2597999572754,15.3543338775635,29.148621662668
6750,34.999885559082,15.1426725387573,29.1742429230949
6900,36.1271629333496,14.4390687942505,29.6136145468044
7050,36.0455589294434,14.1596908569336,29.3505160594297
7200,35.0311660766602,14.5915498733521,28.9000437900547
7350,33.0257148742676,15.6815614700317,29.0506262142768
7500,35.0991058349609,15.2856750488281,29.0908458630422
7650,34.9570846557617,14.2467041015625,29.5428822575052
7800,36.0625,15.1230010986328,29.2806735942364
7950,34.1079216003418,15.0868911743164,29.309049085765
8100,35.9827919006348,15.1300573348999,29.2272053412064
8250,35.8158149719238,13.8573293685913,29.2631460432435
8400,35.5343437194824,14.5183382034302,29.1911036943212
8550,34.8932647705078,15.1854553222656,29.2224759699991
8700,35.3039245605469,14.62952709198,29.2118540608913
8850,34.9821014404297,14.4712266921997,29.3976354360388
9000,34.6743278503418,14.544150352478,29.4210371793648
9150,35.5476875305176,14.3836660385132,29.5038555864741
9300,34.5038223266602,14.3531627655029,28.9777796991436
9450,33.5552062988281,14.1389932632446,29.2123993792483
9600,34.3904037475586,14.4124612808228,29.4728226225239
9750,35.5526504516602,14.6693048477173,29.4980306533652
9900,34.2937278747559,14.5920610427856,29.4467196423967
10050,34.1164169311523,14.9359035491943,29.271539080816
10200,32.8333282470703,16.275993347168,29.0581359953737
10350,31.3572959899902,15.533504486084,28.9530080492471
10500,31.9392051696777,15.8470487594605,28.9538504861672
10650,32.3424301147461,14.8504667282105,29.2528283536077
10800,32.0692253112793,15.2387609481812,29.1922294266795
10950,33.0112342834473,14.6199359893799,29.5837070591494
11100,33.0187873840332,14.7030754089355,29.2893771108378
