#Simulation Analysis Results CSV File 2019-03-19T11:03:09.173216
#Generated on structure: "frame002000"
TimeStep,Distance_FMN - Heme,Rad_Gyration_CPR-glob
0.0,12.895217895507812,29.844263803859764
150.0,12.18906307220459,30.436142041251443
300.0,12.44291877746582,30.832752045469817
450.0,13.97315502166748,31.16879773749565
600.0,13.596305847167969,30.6108107508019
750.0,14.345255851745605,30.543021164333847
900.0,13.992033004760742,30.21633173042354
1050.0,13.826908111572266,29.819779770545345
1200.0,15.38555908203125,29.857704716136855
1350.0,15.536222457885742,29.70613432827322
1500.0,15.739362716674805,29.517287224372552
1650.0,14.645301818847656,29.52922021477234
1800.0,16.339536666870117,29.130176275870944
1950.0,16.159353256225586,29.3740577342968
2100.0,15.823845863342285,29.385625095269543
2250.0,16.395727157592773,29.138294173076105
2400.0,15.21063232421875,29.520133941867584
2550.0,14.716943740844727,29.74169957411945
2700.0,14.52482795715332,29.232583525394453
2850.0,14.8935546875,29.292508128259264
3000.0,14.26352310180664,28.85357484996802
3150.0,14.27001953125,29.144891349103705
3300.0,14.196995735168457,29.004970118321243
3450.0,14.20525074005127,29.138225201660664
3600.0,13.40618896484375,29.049474318749272
3750.0,13.82705307006836,29.403979763811424
3900.0,14.10504150390625,29.488777711761962
4050.0,14.123723983764648,29.2401700097833
4200.0,14.626864433288574,29.425684241551576
4350.0,13.55603313446045,29.3288423841093
4500.0,13.482390403747559,28.886242058395847
4650.0,13.839807510375977,29.348760321499118
4800.0,14.066099166870117,29.541158522669573
4950.0,14.203742027282715,29.71109067371815
5100.0,14.698352813720703,29.553280755046746
5250.0,14.438713073730469,29.65779608895741
5400.0,15.131900787353516,29.71117225265671
5550.0,15.042667388916016,29.59939237010458
5700.0,13.971725463867188,29.516453078340934
5850.0,14.759602546691895,29.81601268008695
6000.0,14.570646286010742,29.774791967528955
6150.0,14.814446449279785,29.94980282489103
6300.0,14.094194412231445,29.42531273161855
6450.0,14.43713665008545,29.273337166799895
6600.0,14.050156593322754,29.49663519282501
6750.0,13.392928123474121,29.60586803619324
6900.0,13.940664291381836,29.132369002183268
7050.0,13.746743202209473,28.89109324422191
7200.0,13.52347183227539,28.811869341158175
7350.0,13.554435729980469,28.75948553206321
7500.0,14.253141403198242,28.825581825346866
7650.0,14.142793655395508,28.943445848875548
7800.0,13.65153980255127,28.840182221495084
7950.0,13.275745391845703,28.53663157906678
8100.0,13.657346725463867,28.867779177018107
8250.0,13.163084030151367,29.036385111340454
8400.0,13.070760726928711,29.15520231600068
8550.0,13.979841232299805,28.9590925025923
8700.0,13.794641494750977,28.62829131872165
8850.0,13.83150863647461,28.53925034443889
