Frame,Distance HEM800-RTZ602
0,9.340883
1,9.914203
2,9.622646
3,8.9512005
4,9.532661
5,9.917991
6,9.110035
7,10.088352
8,10.497361
9,9.508916
10,10.4586735
11,10.547509
12,11.228389
13,10.4106865
14,10.252721
15,10.459755
16,10.270313
17,9.958018
18,9.237673
19,9.455311
20,10.01504
21,10.30564
22,9.760526
23,10.105815
24,10.381367
25,10.090888
26,10.008098
27,10.483836
28,11.14932
29,10.352733
30,9.918183
31,10.33876
32,10.341892
33,10.8487015
34,10.406947
35,10.394101
36,10.3895
37,10.198893
38,10.832739
39,10.8444395
40,10.56111
41,10.696366
42,10.256772
43,10.109784
44,10.843995
45,10.650711
46,10.420326
47,10.588018
48,10.57769
49,10.67767
50,10.690694
51,10.5273
52,10.104202
53,10.385934
54,10.430516
55,10.244209
56,10.814046
57,10.184299
58,10.554228
59,11.412223
60,10.429383
61,11.112636
62,10.920987
63,10.572626
64,11.056389
65,11.407061
66,11.062039
67,10.602842
68,10.802456
69,9.425246
70,9.557852
71,10.208853
72,9.666547
73,9.625942
74,10.091918
75,8.977524
76,9.575611
77,9.462066
78,10.308799
79,10.20189
80,10.572834
81,9.7582245
82,9.852556
83,10.154517
84,9.944971
85,9.360468
86,10.032165
87,10.006128
88,10.168908
89,10.208382
90,9.505934
91,9.575615
92,10.071614
93,9.819088
94,9.687724
95,9.6597395
96,10.109696
97,10.25943
98,10.190826
99,9.80388
100,10.472986
101,9.381965
102,9.653758
103,10.038889
104,9.544909
105,9.815753
106,9.953561
107,9.844427
108,9.661477
109,9.780991
110,9.938493
111,9.97369
112,9.824648
113,9.446189
114,9.800359
115,10.06309
116,9.9394
117,9.927887
118,9.79273
119,9.965506
120,9.632601
121,9.911966
122,9.402841
123,10.215192
124,10.589987
125,9.755591
126,9.843834
127,10.289286
128,9.831261
129,9.588137
130,10.0910425
131,10.148039
132,10.300857
133,10.141073
134,9.951887
135,10.058142
136,9.808545
137,9.89548
138,10.568758
139,9.941188
140,9.740567
141,10.188152
142,9.384653
143,9.9620695
144,10.436784
145,10.136626
146,10.609723
147,10.103839
148,10.6558275
149,10.339263
150,10.463842
151,9.65396
152,9.783745
153,10.147513
154,10.051991
155,10.453674
156,10.178486
157,10.145492
158,10.117715
159,10.630367
160,10.388629
161,9.804548
162,10.238586
163,10.001857
164,10.082316
165,10.243023
166,9.644172
167,10.3224
168,10.720672
169,10.039723
170,10.1024685
171,10.701089
172,10.389593
173,9.831032
174,10.43651
175,9.653983
176,10.077706
177,9.943073
178,10.358956
179,10.213549
180,10.102866
181,10.55681
182,10.5719185
183,9.772657
184,10.340175
185,10.042513
186,10.390698
187,9.9259
188,9.988813
189,9.335608
190,9.831093
191,9.55352
192,9.556799
193,9.765834
194,9.811516
195,10.345811
196,9.184891
197,9.976825
198,10.162666
199,9.328471
200,10.871087
