#Simulation Analysis Results CSV File 2020-11-27T14:45:18.394300
#Generated on structure: "frame1"
TimeStep,Rad_Gyration_glob,Distance_FAD-FMN
0.0,26.147,5.46508715278877
120.0,26.14,6.376057999256237
240.0,26.148,5.029317866221651
360.0,26.152,5.567296864717615
480.0,26.171,4.828884922688665
600.0,26.102,3.8578871150017355
720.0,26.165,4.846326082388422
840.0,26.134,4.562755324963557
960.0,26.124,4.241167727591248
1080.0,26.193,4.344517508085431
1200.0,26.231,4.559932716004658
1320.0,26.247,4.455815494720784
1440.0,26.244,5.418667719544026
1560.0,26.075,4.295078169519283
1680.0,26.293,5.738170609512563
1800.0,26.201,4.35655631851462
1920.0,26.235,5.2955762067174215
2040.0,26.165,4.310761670815632
2160.0,26.127,4.580053203249498
2280.0,26.134,4.377335058379472
2400.0,26.108,4.859665986641905
2520.0,26.111,6.096594540109657
2640.0,26.129,5.531821311234221
2760.0,26.09,4.244619714170979
2880.0,26.147,5.346439883069408
3000.0,26.096,4.012221345505803
3120.0,26.153,4.599160942215316
3240.0,26.07,5.353250974440508
3360.0,26.146,4.264025744559425
3480.0,26.163,4.6588066144815485
3600.0,26.13,4.151641723220181
3720.0,26.075,4.064923940258495
3840.0,26.153,4.676589956859633
3960.0,26.244,5.116812978160521
4080.0,26.134,4.617254369167249
4200.0,26.092,4.535848359919102
4320.0,26.006,5.4370831576899565
4440.0,26.025,4.48679537569562
4560.0,26.112,4.644442813125986
4680.0,26.222,5.5717785035021885
4800.0,26.15,5.51442943958879
4920.0,26.037,4.642829064486577
5040.0,26.001,5.2417908911302105
5160.0,26.15,4.655586859088202
5280.0,26.135,4.743079645826938
5400.0,26.182,5.982764400887867
5520.0,26.095,3.8435447914075045
5640.0,26.105,4.5274347311291905
5760.0,26.137,4.137264489876291
5880.0,26.172,3.5895276686085706
6000.0,26.075,4.356897397087619
6120.0,26.131,3.9442936341235066
6240.0,26.017,4.174787248742688
6360.0,26.098,3.901809723309938
6480.0,26.1,4.252689869855443
6600.0,26.024,5.450209762228435
6720.0,26.024,5.174890248389902
6840.0,26.007,5.539852408881812
6960.0,26.021,4.5148432266017755
7080.0,26.002,4.118977256649484
7200.0,26.018,5.069965905409266
7320.0,26.139,4.569957484527583
7440.0,26.078,4.359340388671538
7560.0,26.244,3.9281300761926508
7680.0,26.146,3.809357478195739
7800.0,26.143,5.246613827624303
7920.0,26.072,5.0222575508547465
8040.0,26.071,5.025807244410901
8160.0,26.103,4.685748102942914
8280.0,26.129,4.31761277297683
8400.0,26.109,5.937974045257077
8520.0,26.031,4.46132082777316
8640.0,25.951,4.2093428539947215
8760.0,26.151,4.775982329793793
8880.0,26.06,4.387882742307186
9000.0,26.025,4.52089366109382
9120.0,25.992,4.647386804703052
9240.0,26.115,4.56838151609695
9360.0,26.006,4.55895144893877
9480.0,26.084,4.235789826438617
9600.0,26.015,4.243491599110792
9720.0,25.949,4.966721540464159
9840.0,26.06,4.745621171392596
9960.0,26.151,4.301380524413551
10080.0,26.028,4.906181731167474
10200.0,26.192,4.20520013264362
10320.0,26.172,4.333947938694025
10440.0,26.126,3.977767191411407
10560.0,26.129,4.183392444509353
10680.0,26.1,4.843045056634116
10800.0,26.081,3.550611628346197
10920.0,26.03,4.041658239597217
11040.0,26.156,4.104256619548136
11160.0,26.175,5.209240433897682
11280.0,26.014,5.08772565593591
11400.0,26.198,4.78641139350619
11520.0,26.167,4.110517117667686
11640.0,26.143,5.5066046163792635
11760.0,26.126,4.398692057146291
11880.0,26.101,4.230312286444774
12000.0,26.11,4.521398255112462
12120.0,26.094,4.159851955365171
12240.0,26.096,5.0020476607203666
