#Simulation Analysis Results CSV File 2020-11-26T09:00:49.387342
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
821616.432,-118.527,42.603
821716.434,-130.512,33.572
821816.436,-121.656,55.375
821916.438,-103.578,41.185
822016.4400000001,-124.57,41.099
822116.442,-118.897,42.111
822216.444,-131.264,62.373
822316.446,-100.185,33.723
822416.448,-116.935,32.994
822516.4500000001,-119.92,68.252
822616.452,-123.354,58.203
822716.454,-102.209,29.925
822816.456,-120.789,66.589
822916.458,-117.902,53.726
823016.46,-127.474,49.389
823116.462,-116.555,46.629
823216.464,-109.683,41.931
823316.466,-115.916,46.22
823416.468,-120.937,47.965
823516.47,-113.724,59.653
823616.4720000001,-126.838,73.11
823716.474,-113.301,53.434
823816.476,-128.462,50.199
823916.478,-138.194,37.696
824016.48,-116.274,49.786
824116.482,-116.37,55.825
824216.484,-123.321,68.58
824316.486,-115.258,60.012
824416.488,-116.777,54.622
824516.49,-124.475,62.164
824616.492,-127.716,75.609
824716.4940000001,-122.354,59.377
824816.496,-120.613,57.782
824916.498,-110.883,46.033
825016.5,-106.995,60.663
825116.502,-115.698,54.514
825216.5040000001,-122.648,46.485
825316.506,-95.96,28.706
825416.508,-124.294,38.818
825516.51,-135.948,51.632
825616.512,-119.296,49.384
825716.514,-133.462,46.1
825816.5160000001,-118.585,34.454
825916.518,-117.456,63.987
826016.52,-143.3,45.082
826116.522,-123.735,47.355
826216.524,-128.88,48.477
826316.5260000001,-119.82,41.083
826416.528,-121.57,39.897
826516.53,-133.794,57.396
826616.532,-129.94,73.213
826716.534,-113.299,40.048
826816.536,-125.333,74.509
826916.5380000001,-134.476,43.084
827016.54,-125.565,44.184
827116.542,-136.79,73.924
827216.544,-120.897,44.692
827316.546,-109.266,19.221
827416.5480000001,-119.6,44.573
827516.55,-125.669,62.427
827616.552,-134.485,55.639
827716.554,-124.489,46.022
827816.556,-117.31,46.61
827916.558,-118.601,52.859
828016.56,-106.737,44.956
828116.562,-112.517,63.169
828216.564,-117.046,65.659
828316.566,-121.323,54.971
828416.568,-116.755,60.518
828516.5700000001,-108.322,46.659
828616.572,-115.053,35.85
828716.574,-138.177,56.669
828816.576,-116.813,65.324
828916.578,-98.391,43.768
829016.5800000001,-121.38,72.832
829116.582,-127.006,57.389
829216.584,-122.591,73.433
829316.586,-124.013,71.884
829416.588,-116.434,52.901
829516.59,-115.793,70.28
829616.5920000001,-110.732,56.262
829716.594,-113.097,58.406
829816.596,-128.527,46.316
829916.598,-111.25,36.141
830016.6,-112.089,51.23
830116.6020000001,-117.963,41.197
830216.604,-111.065,53.89
830316.606,-104.915,53.585
830416.608,-120.612,55.319
830516.61,-108.48,25.457
830616.612,-114.148,49.009
830716.6140000001,-106.336,58.719
830816.616,-112.822,48.955
