#Simulation Analysis Results CSV File 2020-11-26T08:54:52.561136
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
600012.0,-108.235,45.108
600112.002,-112.194,62.318
600212.004,-121.319,39.934
600312.006,-107.461,38.754
600412.008,-126.196,55.869
600512.01,-125.922,41.391
600612.012,-124.761,51.675
600712.014,-132.66,54.615
600812.0160000001,-117.762,50.13
600912.018,-107.507,55.585
601012.02,-155.787,54.423
601112.022,-114.053,55.121
601212.024,-112.259,35.643
601312.026,-118.179,53.635
601412.028,-123.299,54.575
601512.03,-117.735,43.922
601612.032,-113.747,53.379
601712.034,-118.84,48.294
601812.036,-120.68,70.481
601912.0380000001,-127.089,67.433
602012.04,-121.379,57.031
602112.042,-136.43,47.26
602212.044,-123.898,48.376
602312.046,-120.275,68.912
602412.0480000001,-93.632,48.547
602512.05,-113.442,60.197
602612.052,-108.914,43.113
602712.054,-126.812,66.196
602812.056,-102.828,56.899
602912.058,-125.327,52.617
603012.06,-129.623,62.529
603112.062,-106.739,51.581
603212.064,-124.668,53.623
603312.066,-112.256,60.316
603412.068,-126.153,58.388
603512.0700000001,-117.353,57.864
603612.072,-154.922,70.298
603712.074,-107.122,31.088
603812.076,-125.391,48.32
603912.078,-120.992,53.29
604012.08,-136.579,52.81
604112.082,-119.074,54.898
604212.084,-116.637,39.663
604312.086,-119.567,48.2
604412.088,-108.192,60.073
604512.09,-128.651,71.265
604612.0920000001,-113.15,37.74
604712.094,-106.829,42.601
604812.096,-142.248,46.21
604912.098,-119.474,25.73
605012.1,-132.445,60.522
605112.102,-118.332,79.065
605212.104,-129.078,36.965
605312.106,-106.751,37.337
605412.108,-103.278,45.676
605512.11,-96.789,44.888
605612.112,-113.169,44.025
605712.1140000001,-117.361,58.007
605812.116,-128.184,62.61
605912.118,-140.743,53.912
606012.12,-127.704,49.317
606112.122,-127.055,46.134
606212.1240000001,-120.711,63.443
606312.126,-116.054,67.338
606412.128,-117.989,44.072
606512.13,-134.366,53.983
606612.132,-109.637,32.356
606712.134,-122.333,70.125
606812.136,-119.076,53.554
606912.138,-110.07,64.038
607012.14,-132.246,67.3
607112.142,-124.299,67.35
607212.144,-119.003,42.225
607312.1460000001,-111.175,46.684
607412.148,-125.24,54.156
607512.15,-109.526,51.22
607612.152,-127.014,46.409
607712.154,-117.101,60.355
607812.156,-122.814,52.332
607912.158,-119.776,63.205
608012.16,-128.088,67.181
608112.162,-124.265,58.653
608212.164,-131.341,65.465
608312.166,-123.592,46.535
608412.1680000001,-135.24,53.912
608512.17,-111.994,55.418
608612.172,-117.638,50.253
608712.174,-106.536,67.655
608812.176,-127.203,68.028
608912.178,-128.266,54.296
609012.18,-119.301,35.817
609112.182,-119.273,55.366
609212.184,-115.639,39.316
609312.186,-101.235,41.132
609412.188,-134.453,75.965
609512.1900000001,-122.395,54.19
609612.192,-119.883,50.804
609712.194,-120.429,54.268
609812.196,-125.034,54.553
609912.198,-122.357,25.154
610012.2000000001,-121.521,46.817
610112.202,-127.857,55.684
610212.204,-130.388,42.261
610312.206,-112.073,53.543
610412.208,-130.339,39.383
610512.21,-111.902,50.41
610612.212,-136.624,60.972
610712.214,-115.113,46.311
610812.216,-116.707,39.596
610912.218,-114.658,46.059
611012.22,-110.586,50.045
611112.2220000001,-121.069,68.343
611212.224,-106.946,48.842
611312.226,-122.19,60.286
611412.228,-116.681,62.067
611512.23,-112.139,66.297
611612.232,-107.578,48.905
611712.234,-135.756,62.83
611812.236,-136.902,66.977
611912.238,-110.525,68.036
612012.24,-113.586,61.617
612112.242,-131.006,59.503
612212.2440000001,-103.023,47.756
612312.246,-117.746,50.246
612412.248,-120.295,83.43
612512.25,-132.564,73.875
612612.252,-132.366,69.961
612712.254,-128.842,65.295
612812.256,-127.944,54.695
612912.258,-139.782,66.689
613012.26,-137.062,63.814
613112.262,-120.781,41.543
613212.264,-118.451,53.442
613312.2660000001,-129.64,58.707
613412.268,-120.733,60.807
613512.27,-134.21,64.181
613612.272,-109.432,57.778
613712.274,-122.192,42.461
613812.2760000001,-124.534,49.863
613912.278,-119.057,45.397
614012.28,-129.457,75.861
614112.282,-104.655,34.763
614212.284,-116.232,72.906
614312.286,-109.119,48.191
614412.2880000001,-97.86,51.539
614512.29,-115.583,66.247
614612.292,-125.933,46.961
614712.294,-119.018,65.008
614812.296,-107.203,47.929
614912.2980000001,-136.746,61.686
615012.3,-102.39,58.666
615112.302,-123.165,71.075
615212.304,-110.93,74.687
615312.306,-127.05,65.642
615412.308,-114.196,58.346
615512.31,-123.187,71.413
615612.312,-116.976,59.446
615712.314,-115.725,54.478
615812.316,-117.351,52.004
615912.318,-122.159,60.042
616012.3200000001,-128.589,64.95
616112.322,-128.609,47.57
616212.324,-116.348,63.806
616312.326,-124.083,52.431
616412.328,-122.438,61.715
616512.33,-113.812,51.218
616612.332,-130.526,61.892
616712.334,-113.578,65.191
616812.336,-122.219,58.979
616912.338,-140.493,60.434
617012.34,-117.786,58.699
617112.3420000001,-124.286,59.073
617212.344,-117.284,39.444
617312.346,-121.598,54.861
617412.348,-126.61,61.365
617512.35,-123.678,58.472
617612.352,-127.929,51.456
617712.354,-109.677,50.661
617812.356,-128.424,54.046
617912.358,-107.029,28.875
618012.36,-131.482,62.075
618112.362,-127.171,50.13
618212.3640000001,-114.532,56.058
618312.366,-111.428,39.204
618412.368,-117.298,58.807
618512.37,-123.29,39.155
618612.372,-112.166,22.93
618712.3740000001,-124.563,58.799
618812.376,-138.398,72.17
618912.378,-125.311,42.305
619012.38,-124.525,46.029
619112.382,-112.553,65.396
619212.384,-112.833,66.352
619312.386,-129.16,55.964
619412.388,-118.984,52.842
619512.39,-111.367,42.797
619612.392,-115.828,70.737
619712.394,-120.97,47.098
619812.3960000001,-127.275,44.198
619912.398,-124.294,59.906
620012.4,-120.905,47.32
620112.402,-124.886,44.95
620212.404,-125.516,55.297
620312.406,-129.913,70.415
620412.408,-123.14,46.989
620512.41,-134.97,55.185
620612.412,-123.846,39.149
620712.414,-110.995,56.41
620812.416,-110.8,40.155
620912.4180000001,-130.371,66.905
621012.42,-118.39,73.489
621112.422,-108.23,30.559
621212.424,-119.546,36.596
621312.426,-113.107,46.275
621412.428,-112.296,51.568
621512.43,-114.048,60.125
621612.432,-123.603,63.709
621712.434,-118.281,39.415
621812.436,-111.248,54.466
621912.438,-123.425,60.603
622012.4400000001,-129.874,71.029
622112.442,-108.889,51.984
622212.444,-116.931,34.505
622312.446,-100.261,28.205
622412.448,-129.537,47.319
622512.4500000001,-116.492,53.034
622612.452,-112.962,56.734
622712.454,-124.617,41.522
622812.456,-117.064,59.159
622912.458,-123.528,67.232
623012.46,-104.632,45.994
623112.462,-128.573,73.716
