Frame,Distance HEM800-ACE918
0,5.0971227
1,9.955273
2,9.49252
3,10.302591
4,10.312158
5,8.87734
6,8.847781
7,8.962421
8,8.773928
9,8.470812
10,8.905428
11,8.271066
12,8.13031
13,7.640898
14,10.055501
15,10.446808
16,8.966175
17,8.7237425
18,8.568406
19,9.341221
20,8.219217
21,8.596853
22,8.763608
23,9.388635
24,8.550622
25,7.772793
26,8.437921
27,9.990207
28,11.409626
29,12.563299
30,13.258536
31,13.799434
32,12.030678
33,10.732423
34,8.750836
35,8.522274
36,9.190963
37,8.669538
38,8.100088
39,8.639604
40,8.709224
41,9.054982
42,10.014089
43,8.339356
44,8.859325
45,8.221686
46,8.237454
47,8.523584
48,7.9744415
49,8.687778
50,8.492714
51,10.721772
52,11.610867
53,11.845074
54,8.249759
55,8.820939
56,9.104058
57,8.81025
58,8.401767
59,8.820895
60,8.431053
61,8.6610155
62,8.515691
63,8.10445
64,8.270373
65,8.268683
66,8.991154
67,8.16431
68,8.307113
69,7.9238544
70,8.394543
71,8.507919
72,8.493365
73,8.777009
74,8.539265
75,6.4459896
76,6.551307
77,6.4212856
78,6.6023107
79,6.3820586
80,6.879544
81,6.9266367
82,6.3221846
83,6.446683
84,6.363234
85,6.567609
86,6.307137
87,6.527596
88,6.494105
89,6.866089
90,6.987245
91,6.5589542
92,6.3481016
93,7.082059
94,6.978683
95,6.7848244
96,6.176507
97,6.784945
98,6.397895
99,6.5421286
100,6.5397058
101,6.602275
102,6.8310404
103,6.612604
104,6.6050267
105,6.656951
106,6.427906
107,6.1845183
108,6.5578833
109,7.1567106
110,6.465263
111,7.06294
112,6.348763
113,6.4863086
114,6.515467
115,6.5776935
116,6.373425
117,6.0264897
118,6.003523
119,6.429
120,6.6211815
121,6.7936435
122,6.641189
123,6.354029
124,6.229324
125,6.127703
126,6.216503
127,6.2842393
128,6.438258
129,5.8382936
130,6.256257
131,6.2366004
132,6.1766214
133,6.8134723
134,6.204168
135,6.228707
136,6.659239
137,7.438757
138,6.0469193
139,6.162936
140,6.6296105
141,6.486668
142,6.6971307
143,6.0489783
144,6.0720587
145,6.297537
146,6.161762
147,6.6325254
148,6.517847
149,6.180814
150,6.489418
151,6.2731285
152,6.5132456
153,6.4339876
154,6.0514083
155,6.672755
156,6.6163177
157,6.3853755
158,6.0778794
159,6.1677895
160,6.314685
161,6.229924
162,6.150343
163,6.281555
164,6.0189347
165,6.2506456
166,6.4104724
167,6.678298
168,6.072268
169,6.11832
170,6.10433
171,6.1212163
172,5.843201
173,6.380019
174,6.5698466
175,5.8975368
176,5.9662747
177,6.6084805
178,6.0943
179,6.3238297
180,6.017518
181,6.4098783
182,6.3147964
183,6.21056
184,6.562123
185,6.3798695
186,6.24808
187,6.380715
188,6.5248923
189,6.2885456
190,6.4123526
191,6.563418
192,6.4115944
193,6.5205717
194,6.4765143
195,6.7449512
196,7.774822
197,6.533245
198,6.4194036
199,6.48406
200,6.4969788
