Frame,Distance HEM800-TRA1
0,8.034612
1,8.308665
2,8.24735
3,8.109874
4,8.82746
5,8.854233
6,8.801332
7,8.822841
8,8.903785
9,8.021858
10,8.238458
11,8.060096
12,9.322704
13,8.53924
14,9.159961
15,8.936686
16,9.361916
17,9.269861
18,8.985164
19,9.00788
20,8.976231
21,8.109062
22,8.182693
23,8.55541
24,9.194939
25,8.77734
26,9.742145
27,8.896559
28,9.071107
29,8.58223
30,8.568061
31,9.230825
32,9.068557
33,9.337324
34,8.662684
35,9.8515835
36,9.507213
37,8.410641
38,8.569018
39,9.239286
40,8.870108
41,9.04505
42,9.619742
43,8.5799265
44,8.942754
45,8.989918
46,8.789032
47,8.602808
48,9.456154
49,9.524631
50,9.666768
51,9.222178
52,8.73238
53,8.388342
54,8.873491
55,8.846759
56,9.073184
57,8.571213
58,8.386339
59,8.888511
60,8.849127
61,8.100887
62,8.775447
63,8.631562
64,9.614405
65,9.282822
66,9.48112
67,8.986701
68,8.89811
69,8.891876
70,9.1975765
71,8.77801
72,8.606972
73,9.167471
74,9.400359
75,8.713602
76,8.914798
77,8.599305
78,8.247599
79,9.056316
80,9.259274
81,8.503042
82,8.542807
83,8.556243
84,8.740984
85,9.072467
86,9.263462
87,9.515439
88,9.336265
89,9.693012
90,9.694481
91,8.951082
92,9.64068
93,9.238382
94,8.490461
95,8.846884
96,9.208677
97,9.108926
98,9.125451
99,8.680244
100,8.457344
101,8.9051285
102,8.871855
103,8.248113
104,9.15627
105,9.2594185
106,8.556427
107,8.605228
108,8.45602
109,9.13376
110,8.934141
111,8.807394
112,8.372654
113,8.9184
114,8.930874
115,9.224835
116,9.100184
117,9.4000225
118,9.00227
119,9.277383
120,8.612039
121,8.307503
122,8.487206
123,8.7727585
124,8.667695
125,8.887089
126,8.2910595
127,8.869377
128,8.742616
129,8.742622
130,8.680618
131,8.347286
132,8.330094
133,9.103777
134,8.819007
135,8.559569
136,8.274401
137,8.548089
138,8.780289
139,9.27986
140,8.34906
141,8.786046
142,8.1853695
143,8.865653
144,9.062696
145,8.648423
146,8.4719305
147,8.915033
148,8.317562
149,8.572225
150,8.730953
151,8.812447
152,9.329772
153,8.803337
154,9.329321
155,8.591947
156,8.488731
157,8.71947
158,9.069863
159,9.422145
160,9.110772
161,8.490928
162,9.240912
163,8.900308
164,9.654925
165,8.851572
166,8.6157
167,8.570634
168,8.885171
169,8.768894
170,8.554508
171,8.8414345
172,8.467348
173,9.006321
174,9.0972185
175,9.316543
176,9.081833
177,9.48948
178,10.183969
179,9.949954
180,10.023991
181,9.059703
182,8.803153
183,8.450677
184,8.596293
185,8.804986
186,8.769567
187,8.866257
188,8.803422
189,8.84646
190,8.968104
191,8.94223
192,7.9986043
193,8.674301
194,9.283642
195,9.022578
196,8.45285
197,9.083128
198,9.197571
199,9.558703
200,8.772066
